nctid,drug,readout_date,label,after_lock_0729,Opus 5 zero-shot,GPT-5.6 zero-shot,Opus 4.8 zero-shot,Opus 5 reasoning,GPT-5.6 reasoning,v1 p_llm,v1 p_tabpfn3,v1 p_sft,v1 ens_rank,v1 ens_simple,v2 p_llm,v2 p_tabpfn3,v2 p_sft,v2 ens_rank,v2 ens_simple
NCT05686551,Placebo; Tominersen,2026-07-09,0,0,0.0300,0.3200,0.0500,0.2100,0.0020,0.1713,0.3110,0.1055,0.1905,0.1959,0.1775,0.2936,0.1067,0.1797,0.1926
NCT05723562,Dostarlimab,2026-07-13,1,0,0.9600,0.9500,0.9600,0.8600,0.6800,0.6125,0.8628,0.9399,0.9357,0.8051,0.5563,0.6878,0.9330,0.8747,0.7257
NCT06993428,Alli® 60 mg; EMP16-02 120,2026-07-13,0,0,0.8800,0.4400,0.8800,0.3750,0.3650,0.2662,0.3599,0.5622,0.4889,0.3961,0.2525,0.3666,0.5622,0.4851,0.3938
NCT05322070,Fluocinolone Acetonide In,2026-07-13,1,0,0.9700,0.8700,0.8600,0.8400,0.7300,0.6335,0.7589,0.9047,0.9253,0.7657,0.7913,0.6015,0.9047,0.9206,0.7658
NCT06775860,ICP-332 Placebo Tablets; ,2026-07-15,1,0,0.9500,0.8400,0.8400,0.7850,0.8800,0.6138,0.6020,0.8176,0.8629,0.6778,0.6088,0.7058,0.8176,0.8790,0.7107
NCT05600777,BLU-5937; Placebo,2026-07-17,0,0,0.0200,0.6700,0.0300,0.6550,0.0050,0.4050,0.4333,0.9149,0.6733,0.5844,0.4000,0.4539,0.9149,0.6733,0.5896
NCT06630299,Antiretroviral Combinatio,2026-07-21,1,0,0.9700,0.9200,0.9700,0.8650,0.9450,0.7338,0.8512,0.8520,0.9428,0.8123,0.7288,0.9004,0.8520,0.9470,0.8270
NCT05047094,Diffusing Alpha Radiation,2026-07-21,1,0,0.9300,0.7800,0.8500,0.4150,0.3650,0.5813,0.6414,0.2018,0.6284,0.4748,0.6887,0.6638,0.2018,0.6785,0.5181
NCT06366750,Matching Placebo; barzolv,2026-07-21,0,0,0.0300,0.4300,0.5200,0.3950,0.4550,0.4263,0.5322,0.9669,0.7395,0.6418,0.4213,0.5967,0.9669,0.7494,0.6616
NCT06924970,Tebapivat; Tebapivat Matc,2026-07-21,0,0,0.0300,0.6800,0.6600,0.5000,0.0050,0.4387,0.2478,0.2451,0.3759,0.3105,0.4138,0.3125,0.2451,0.4028,0.3238
